Date,Site,Measure,Value,Units,Instrument,FileName,TabName
10/11/2015,Reed Bower,DO,88,%,Hach HQ30d,Datasheets_2015,10.11.15
24/11/2015,Reed Bower,DO,10.73,mg/L,Hach HQ30d,Datasheets_2015,24.11.15
24/11/2015,Reed Bower,DO,85.8,%,Hach HQ30d,Datasheets_2015,24.11.15
22/12/2015,Reed Bower,DO,10.67,mg/L,Hach HQ30d,Datasheets_2015,22.12.15
22/12/2015,Reed Bower,DO,90.5,%,Hach HQ30d,Datasheets_2015,22.12.15
19/1/2016,Reed Bower,DO,11.38,mg/L,Hach HQ30d,Datasheets_2016,19.01.16
19/1/2016,Reed Bower,DO,83.3,%,Hach HQ30d,Datasheets_2016,19.01.16
16/2/2016,Reed Bower,DO,11.84,mg/L,Hach HQ30d,Datasheets_2016,16.02.16
16/2/2016,Reed Bower,DO,86.5,%,Hach HQ30d,Datasheets_2016,16.02.16
1/3/2016,Reed Bower,DO,11.98,mg/L,Hach HQ30d,Datasheets_2016,01.03.16
1/3/2016,Reed Bower,DO,92.3,%,Hach HQ30d,Datasheets_2016,01.03.16
15/3/2016,Reed Bower,DO,13.68,mg/L,Hach HQ30d,Datasheets_2016,15.03.16
15/3/2016,Reed Bower,DO,107.6,%,Hach HQ30d,Datasheets_2016,15.03.16
29/3/2016,Reed Bower,DO,11.59,mg/L,Hach HQ30d,Datasheets_2016,29.03.16
29/3/2016,Reed Bower,DO,97.1,%,Hach HQ30d,Datasheets_2016,29.03.16
12/4/2016,Reed Bower,DO,10.94,mg/L,Hach HQ30d,Datasheets_2016,12.04.16
12/4/2016,Reed Bower,DO,93,%,Hach HQ30d,Datasheets_2016,12.04.16
26/4/2016,Reed Bower,DO,10.14,mg/L,Hach HQ30d,Datasheets_2016,26.04.16
26/4/2016,Reed Bower,DO,88.5,%,Hach HQ30d,Datasheets_2016,26.04.16
10/5/2016,Reed Bower,DO,10.18,mg/L,Hach HQ30d,Datasheets_2016,10.05.16
10/5/2016,Reed Bower,DO,97.9,%,Hach HQ30d,Datasheets_2016,10.05.16
24/5/2016,Reed Bower,DO,9.45,mg/L,Hach HQ30d,Datasheets_2016,24.05.16
24/5/2016,Reed Bower,DO,93,%,Hach HQ30d,Datasheets_2016,24.05.16
7/6/2016,Reed Bower,DO,9.89,mg/L,Hach HQ30d,Datasheets_2016,07.06.16
7/6/2016,Reed Bower,DO,108.8,%,Hach HQ30d,Datasheets_2016,07.06.16
21/6/2016,Reed Bower,DO,8.66,mg/L,Hach HQ30d,Datasheets_2016,21.06.16
21/6/2016,Reed Bower,DO,86.6,%,Hach HQ30d,Datasheets_2016,21.06.16
5/7/2016,Reed Bower,DO,9.23,mg/L,Hach HQ30d,Datasheets_2016,05.07.16
5/7/2016,Reed Bower,DO,93.1,%,Hach HQ30d,Datasheets_2016,05.07.16
19/7/2016,Reed Bower,DO,9.16,mg/L,Hach HQ30d,Datasheets_2016,19.07.16
19/7/2016,Reed Bower,DO,98.4,%,Hach HQ30d,Datasheets_2016,19.07.16
29/7/2016,Reed Bower,DO,9.14,mg/L,Hach HQ30d,Datasheets_2016,29.07.16
29/7/2016,Reed Bower,DO,96.2,%,Hach HQ30d,Datasheets_2016,29.07.16
16/8/2016,Reed Bower,DO,9.73,mg/L,Hach HQ30d,Datasheets_2016,16.08.16
16/8/2016,Reed Bower,DO,101.8,%,Hach HQ30d,Datasheets_2016,16.08.16
30/8/2016,Reed Bower,DO,8.75,mg/L,Hach HQ30d,Datasheets_2016,30.08.16
30/8/2016,Reed Bower,DO,90.5,%,Hach HQ30d,Datasheets_2016,30.08.16
13/9/2016,Reed Bower,DO,9.66,mg/L,Hach HQ30d,Datasheets_2016,13.09.16
13/9/2016,Reed Bower,DO,99.8,%,Hach HQ30d,Datasheets_2016,13.09.16
27/9/2016,Reed Bower,DO,9.49,mg/L,Hach HQ30d,Datasheets_2016,27.09.16
27/9/2016,Reed Bower,DO,94,%,Hach HQ30d,Datasheets_2016,27.09.16
11/10/2016,Reed Bower,DO,10.73,mg/L,Hach HQ30d,Datasheets_2016,11.10.16
11/10/2016,Reed Bower,DO,95.8,%,Hach HQ30d,Datasheets_2016,11.10.16
25/10/2016,Reed Bower,DO,9.99,mg/L,Hach HQ30d,Datasheets_2016,25.10.16
25/10/2016,Reed Bower,DO,85.9,%,Hach HQ30d,Datasheets_2016,25.10.16
8/11/2016,Reed Bower,DO,10.39,mg/L,Hach HQ30d,Datasheets_2016,08.11.16
8/11/2016,Reed Bower,DO,85.8,%,Hach HQ30d,Datasheets_2016,08.11.16
22/11/2016,Reed Bower,DO,11.16,mg/L,Hach HQ30d,Datasheets_2016,22.11.16
22/11/2016,Reed Bower,DO,87.5,%,Hach HQ30d,Datasheets_2016,22.11.16
6/12/2016,Reed Bower,DO,12.08,mg/L,Hach HQ30d,Datasheets_2016,06.12.16
6/12/2016,Reed Bower,DO,89.7,%,Hach HQ30d,Datasheets_2016,06.12.16
22/12/2016,Reed Bower,DO,10.99,mg/L,Hach HQ30d,Datasheets_2016,22.12.16
22/12/2016,Reed Bower,DO,87.4,%,Hach HQ30d,Datasheets_2016,22.12.16
